attack_type,variant,benign_score_mean,benign_score_std,attack_score_mean,attack_score_std,standardized_gap,signal_judgement,note
browser_hijacking,baseline_graphsage,79289401.9475173,7084643.936137624,75022766.34624775,8033794.157721071,0.39832671250248597,low,
mitm_arp_spoofing,baseline_graphsage,79289401.9475173,7084643.936137624,83849200.41575503,0.0,0.643617168250183,medium,provisional
dictionary_bruteforce,baseline_graphsage,79289401.9475173,7084643.936137624,90124285.60568705,4521086.902456443,1.2892058002874545,high,
backdoor_malware,baseline_graphsage,79289401.9475173,7084643.936137624,84845300.36600052,6658126.123692473,0.571460154706833,medium,
browser_hijacking,temporal_edge_branch,79288310.5223364,7084527.028365332,75021751.88139735,8033687.0970042925,0.3983253891063084,low,
mitm_arp_spoofing,temporal_edge_branch,79288310.5223364,7084527.028365332,83848149.21273926,0.0,0.6436334665879583,medium,provisional
dictionary_bruteforce,temporal_edge_branch,79288310.5223364,7084527.028365332,90123176.57067266,4521037.896663542,1.2892228666674717,high,
backdoor_malware,temporal_edge_branch,79288310.5223364,7084527.028365332,84844236.7491648,6658087.607727648,0.571469572850734,medium,
