dataset_name,file_path,integrity_status,sampling_mode,seed,packet_limit,benign_packet_count,attack_packet_count,benign_packet_start_offset,attack_packet_start_offset,FPR,F1,recall
CICIoT2023,/home/xdo/traffic_classicial/data/cic_iot_2023/processed/mitm_arp_spoofing.pcap,partial_or_prefix,prefix,42,20000,20000,20000,0,0,0.4,0.5714285714285715,0.6666666666666666
CICIoT2023,/home/xdo/traffic_classicial/data/cic_iot_2023/processed/mitm_arp_spoofing.pcap,partial_or_prefix,random_window,42,20000,20000,20000,234478,94066,0.2,0.5,0.5
