evaluation_mode,scenario_id,baseline_profile,edge_profile,nuisance_profile,edge_suppression_enabled,edge_support_summary_mode,nuisance_support_summary_mode,nuisance_boundary_mode,baseline_f1,edge_v2_f1,nuisance_f1,delta_f1,delta_nuisance_f1,baseline_recall,edge_v2_recall,nuisance_recall,delta_recall,delta_nuisance_recall,baseline_fpr,edge_v2_fpr,nuisance_fpr,delta_fpr,delta_nuisance_fpr,baseline_background_hit_ratio,edge_v2_background_hit_ratio,nuisance_background_hit_ratio,nuisance_rejection_rate,malicious_blocked_by_nuisance_rate
merged,merged_48_49_52,heldout_q99,heldout_q95_top1,heldout_q95_top1,False,local_support_density,old_concentration,nuisance_q95_margin050,0.2857142857142857,0.9411764705882353,0.9411764705882353,0.6554621848739496,0.6554621848739496,0.17647058823529413,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.7647058823529411,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0,0.0,0.07036083638170076,0.28442397145824866,0.2979271101476765,0.014993451655150612,0.0
scenario_wise,48,heldout_q99,heldout_q99_top5,heldout_q99_top5,False,local_support_density,local_support_density,nuisance_q95_margin050,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.08918724526492448,0.15607767921361784,0.16207144569647566,0.017262047470630544,0.0
scenario_wise,49,heldout_q99,heldout_q95_top1,heldout_q99_top5,False,local_support_density,old_concentration,nuisance_q95_margin050,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.07933271547729379,0.32863762743280817,0.3110287303058387,0.051714550509731234,0.0
scenario_wise,52,heldout_q99,heldout_q99_top5,heldout_q99_top5,False,local_support_density,local_support_density,nuisance_q95_margin050,0.4,1.0,1.0,0.6,0.6,0.25,1.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.11831120298958415,0.254591715035382,0.23876918183986642,0.0547030293392701,0.0
